document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
51,131/13,ua 131/13 on syria issued on (20 may 2013),syria|incommunicado|arbitrary arrest,syria,,,2013-05-20,initial,2013-05-20|2013-04-30|2013-04-30|2013-04-16|2013-03-14|2013-05-20
53,128/13,final action ua 128/13 on indonesia issued on (17 may 2013),execution|indonesia|firing squad,indonesia issued on,,,2013-05-17,final action,2013-05-17|2013-05-16|2013-04-29|2013-05-16|2013-05-17
55,83/13,first update on ua 83/13 on poland issued on (17 may 2013),forced evictions|poland,poland,,2013-06-28,2013-05-17,first update,2013-05-17|2013-06-28|2013-05-17
57,129/13,ua 129/13 on usa issued on (17 may 2013),guantanamo|united states,usa,,2013-06-28,2013-05-17,initial,2013-05-17|2010-01-22|2013-06-28|2002-07-21|2002-01-16|2013-05-17
59,130/13,ua 130/13 on yemen issued on (17 may 2013),yemen|excecution,yemen,,2013-06-28,2013-05-17,initial,2013-05-17|1996-09-07|2000-06-05|2004-05-30|2013-06-28||2012-06-16|2013-05-17
61,128/13,ua 128/13 on indonesia issued on (16 may 2013),indonesia|execution|solitary confinement,indonesia,,2013-06-27,2013-05-16,initial,2013-05-16||2013-06-27|2013-03-14|2012-03-23|2013-05-16
63,104/13,first update on ua 104/13 on the republic of congo issued on (15 may 2013),republic of congo|harassment|teachers and educators,ua 104,m,2013-06-10,2013-05-15,first update,2013-05-15|2013-04-25|2013-06-10
65,93/13,second update on ua 93/13 pm el salvador issued on (15 may 2013),el salvador|womans rights|health concern,ua 93,,2013-05-20,2013-05-15,second update,2013-05-15|2013-05-20
67,107/13,ua 107/13 on saudi arabia issued on (24 april 2013),prisoner of conscience|arbitrary detention|saudi arabia,saudi arabia issued on,,,2013-04-24,initial,2013-04-24|2011-06-23
69,336/12,second update on ua 336/12 on indonesia issued on (15 may 2013),forced eviction|indonesia|water rights,ua 336,both,2013-06-25,2013-05-15,second update,2013-05-15|2013-05-07|2013-05-01|2013-06-25|2011-12-29|2012-01-01|2013-05-14
71,232/13,sixth update on ua 232/13 issued on (10 may 2013),arbitrary arrest|arbitrary detention|bahrain|human rights defender|freedom of expression,ua 232,both female,2013-08-01,2013-05-10,sixth update,2013-05-10|2013-02-28|2012-05-02|2013-08-01|2013-02-27|2012-05-02|2011-06-29
73,51/13,final action on ua 51/13 on nigeria issued on (10 may 2013),forced eviction|nigeria|human rights,ua 51,,,2013-05-10,final action,2013-05-10
75,23/13,final action of ua 23/13 on yemen issued on (7 may 2013),yemen|death penalty|execution,yemen issued on,,,2013-05-07,final action,2013-05-07|2013-04-29|2012-06-16
77,114/13,ua 114/13 on bahrain issued on (3 may 2013),bahrain|arbitrary detention|human rights defender|human rights|prisoners of conscience,bahrain issued on,,2013-06-14,2013-05-03,initial,2013-05-03|2013-05-02|2012-02-14|2012-04-17|2013-06-14|2011-06-29
79,113/13,ua 113/13 on usa issued on (3 may 2013),execution|united states|death penalty,usa issued on,,2013-05-07,2013-05-03,initial,2013-05-03|1992-12-11|2013-03-25|2013-05-07
81,112/13,ua 112/13 on egypt issued on (3 may 2013),egypt|arbitrary arrest|arbitrary detention|freedom of expression,egypt,,2013-06-14,2013-05-03,initial,2013-05-03|2013-05-05|2013-06-14|2013-05-03
83,263/12,fourth update on ua 263/12 on iraq and usa issued on (3 may 2013),freedom of expression|iraq|united states|military,usa,,2013-06-14,2013-05-03,fourth update,2013-05-03|2013-04-29|2013-06-14|2013-09-13|2012-12-12|2013-03-12|2013-05-03
85,90/13,final action on ua 90/13 on papua new guinea issued on (3 may 2013),freedom|human rights|papua new guinea|healm,papua new guinea,,,2013-05-03,final action,2013-05-03|2013-04-02|2013-05-03
87,111/13,ua 111/13 on honduras issued on (1 may 2013),honduras|journalists and writers|threats,honduras issued on,,2013-06-13,2013-05-01,initial,2013-05-01|2013-06-13
89,99/13,second update on ua 99/13 on el salvador issued on (1 may 2013)#,womans rights|health concern|el salvador,ua 99,,2013-06-05,2013-05-01,second update,2013-05-01|2013-04-15|2013-04-24|2013-05-01|2013-06-05
91,23/13,third update on ua 23/13 on yemen issued on (1 may 2013),|subject:  third update on ua 23/13 on yemen issued on (1 may 2013),yemen,,2013-06-12,2013-05-01,third update,2013-05-01|2013-06-12||2012-06-16|2012-03-23|2013-01-30|2013-02-13|2013-05-01
93,110/13,ua 110/13 on russia issued on (30 april 2013),russia|fines|ngo risk|freedom of expression|human rights|human rights defender,russia issued on,,2013-07-31,2013-04-30,initial,2013-04-30|2013-06-19|2012-07-20|2013-07-31|2013-06-18||2012-07-20|2013-05-15
95,104/13,first update on ua 104/13 on republic of congo issued on (29 april 2013),arbitrary arrest|arbitrary detention|republic of congo,ua 104,m,2013-06-10,2013-04-29,first update,2013-04-29|2013-04-25|2013-06-10
97,242/11,first update ua 242/11 on saudi arabia issued on (29 april 2013),religious discrimination|prison conditions|legal concern|saudi arabia,saudi arabia issued on,m,2013-06-10,2013-04-29,first update,2013-04-29|2012-12-17|2012-12-01|2011-02-27|2013-06-10|2009-03-19|2013-03-25|2013-04-28
99,109/13,ua 109/13 on indonesia issued on (29 april 2013),|subject:  ua 109/13 on indonesia issued on (29 april 2013),indonesia issued on,,2013-06-10,2013-04-29,initial,2013-04-29|2013-06-10|2013-03-14|2012-03-23
101,106/13,ua 106/13 on syria issued on (26 april 2013),syria|incommunicado|child rights|prison conditions,syria issued on,,2013-06-07,2013-04-26,initial,2013-04-26|2012-11-20|2012-11-20|2013-06-07|2012-11-19|2013-04-16|2013-03-14
103,75/13,final action on ua 75/13 on uzbekistan issued on (24 april 2013),journalists and writers|prison conditions|uzbekistan,ua 75,m,,2013-04-24,final action,2013-04-24|2013-04-08|2013-03-05
105,104/13,ua 104/13 on republic of congo issued on (24 april 2013),arbitrary arrest|arbitrary detention|republic of congo|prisoner of conscience,republic of congo issued on,,2013-06-04,2013-04-24,initial,2013-04-24|2013-06-04|2013-04-24
107,108/13,ua 108/13 on mexico issued on (24 april 2013),threats|mexico|freedom of expression|journalists and writers,mexico issued on,m & f,2013-06-05,2013-04-24,initial,2013-04-24|2013-06-05|2013-04-24
109,89/13,first update on ua 89/13 on egypt issued on (23 april 2013),solitary confinement|egypt,ua 89,,2013-06-04,2013-04-23,first update,2013-04-23|2013-06-04|2013-03-29
111,128/13,final update ua 128/13 on indonesia issued on (23 april 2013),indonesia|death penalty,indonesia issued on,,,2013-04-23,final update,2013-04-23|2013-05-16|2013-04-29
113,71/13,fourth update on ua 71/13 on qatar issued on (19 april 2013),qatar|arbitrary arrest|arbitrary detention,ua 71,,,2013-04-19,fourth update,2013-04-19
115,103/13,ua 103/13 on burundi issued on (19 april 2013),burundi|freedom of expression|journalists and writers,burundi issued on,both,2013-06-05,2013-04-19,initial,2013-04-19|2013-04-03|2013-04-19|2013-06-05
117,81/13,first update ua 81/13 on france issued on (9 april 2013),forced eviction|france|legal concern,france issued on,,,2013-04-09,first update,2013-04-09
119,101/13,ua 101/13 on dominican republic issued on (18 april 2013),threats|assault|forced eviction|dominican republic,dominican republic issued on,,2013-05-30,2013-04-18,initial,2013-04-18|2013-05-30
121,99/13,ua 99/13 on el salvador issued on (1 may 2013),el salvador|health concern|woman,el salvador issued on,f,2013-06-05,2013-05-01,initial,2013-05-01|2013-06-05
123,100/13,ua 100/13 on burundi issued on (17 april 2013),journalists and writers|freedom of expression|burundi,burundi issued on,,2013-06-05,2013-04-17,initial,2013-04-17|2013-04-03|2013-04-19|2013-06-05
125,98/13,ua 98/13 on haiti issued on (17 april 2013),forced eviction|haiti|threats|refugee issues,haiti issued on,,2013-05-29,2013-04-17,initial,2013-04-17|2013-05-29|2010-01-12
127,97/13,ua 97/13 on india issued on (17 april 2013),risk of ill-treatment|child rights|india|arbitrary arrest,india issued on,,2013-05-29,2013-04-17,initial,2013-04-17|2013-05-29|2012-04-18
129,73/13,first update ua 73/13 on chad issued on (15 april 2013),|subject:  first update ua 73/13 on chad issued on (15 april 2013),chad issued on,,2013-05-28,2013-04-15,first update,2013-04-15|2013-04-01|2013-05-28|2008-02-03
131,160/12,first update ua 160/12 on venezuela issued on (15 april 2013),venezuela,venezuela issued on,,2013-05-27,2013-04-15,first update,2013-04-15|2013-05-27|2013-01-25
133,96/13,ua 96/13 on syria issued on (15 april 2013),|subject:  ua 96/13 on syria issued on (15 april 2013),syria issued on,,2013-05-27,2013-04-15,initial,2013-04-15|2013-02-03|2013-05-27|2013-03-14
135,95/13,ua 95/13 on bangladesh issued on (15 april 2013),arbitrary arrest|bangladesh|risk of torture,bangladesh issued on,both male.,2013-05-27,2013-04-15,initial,2013-04-15|2013-04-11|2013-05-27|2013-04-15
137,94/13,ua 94/13 on angola issued on (15 april 2013),|subject:  ua 94/13 on angola issued on (15 april 2013),angola issued on,,2013-05-27,2013-04-15,initial,2013-04-15|2013-05-27
139,93/13,ua 93/13 on el salvador issued on (15 april 2013),el salvador|human rights|health concern,el salvador issued on,f,2013-05-27,2013-04-15,initial,2013-04-15|2013-05-27|2013-04-15
141,103/13,ua 103/13 on colombia issued on (19 april 2013),colombia|killing|paramilitaries,colombia,,2013-05-31,2013-04-19,initial,2013-04-19|2012-01-28|2013-05-31|2013-04-09|2013-04-19
143,102/13,ua 102/13 on china issued on (19 april 2013),china|arbitrary arrest|risk of torture|ill-treatment,china issued on,,2013-05-31,2013-04-19,initial,2013-04-19|2013-05-31
145,95/13,first update ua 95/13 on bangladesh issued on (15 april 2013),|subject:  first update ua 95/13 on bangladesh issued on (15 april 2013),bangladesh,,2013-05-31,2013-04-15,first update,2013-04-15|2013-04-15|2013-04-17|2013-05-31
147,93/13,first update uaa 93/13 on el salvador issued on (24 april 2013),el salvador|health concern,el salvador,,,2013-04-24,first update,2013-04-24|2013-04-15|2013-04-24|2013-04-15|2013-04-24
149,367/12,second update ua 367/12 on jordan (issued 12 april 13),conscientious objection|arbitrary arrest|male|jordan,jordan,,,2013-04-12,second update,2012-12-13|2012-04-12|2012-11-19|2012-12-10|2012-11-19
151,91/13,ua 91/13 on india (issued on 12 april 2013),death penalty,india,,2013-05-24,2013-04-12,initial,2013-04-12|2013-05-24|2012-11-21|2013-02-09||2013-04-12
153,90/13,ua 90/13 on papau new guinea (issued on 12 april 2013),threats|arbitrary arrest,papau new guinea,,2013-05-24,2013-04-12,initial,2013-04-12|2013-04-02|2013-05-24
155,89/13,ua 89/13 on egypt (issued on 12 april 2013),freedom of expression|legal concern|ill-treatment,egypt,,2013-05-24,2013-04-12,initial,2013-04-12|2013-05-24|2013-03-29|2013-04-12
157,88/13,ua 88/13 on iran (issued on 12 april 13),torture|health concern|ill-treatment,iran,,2013-05-23,2013-04-12,initial,2013-04-12|2013-01-04|2013-05-23|2013-04-09|2013-04-12
159,83/13,ua 83/13 on poland (issued on 12 april 2013),forced eviction|legal concern,poland,,2013-05-16,2013-04-12,initial,2013-04-12|2013-04-04|2013-05-16|2013-03-26|2013-04-04
161,25/13,final update ua 25/13 on (issued on 11 april 2013),prisoner of conscience|legal concern|arbitrary detention,cuba,,,2013-04-11,final update,2013-04-11|2013-04-11|2012-09-16|2013-04-11
163,52/13,second update ua 52/13 on mexico (issued on 11 april 2013),fear for safety|legal concern,mexico,,2013-05-23,2013-04-11,second update,2013-04-11|2013-05-23|2013-03-11|2013-03-20|2013-04-11
165,52/13,first update ua 52/13 on saudi arabia (issued on 10 april 2013),arbitrary detention|incommunicado detention|legal concern,saudi arabia,,,2013-04-10,first update,2013-04-10|2013-04-07|2013-01-06|2012-12-23|2013-04-10
167,86/13,ua 86/13 on mexico (issued on 8 april 2013),|subject:  ua 86/13 on mexico (issued on 8 april 2013),mexico,,2013-05-20,2013-04-08,initial,2013-04-08|2013-05-20
169,28/13,first update ua 28/13 on bahrain (issued on 5 april 2013),|subject:  first update ua 28/13 on bahrain (issued on 5 april 2013),bahrain,,2013-05-17,2013-04-05,first update,2013-04-05|2013-04-04|2013-04-04||2013-05-17
171,236/12,third update ua 236/12 on bahrain (issued on 5 april 2013),child rights|legal concern,bahrain,,,2013-04-05,third update,2013-04-05|2012-07-23|2012-10-16|2012-08-07|2013-03-28|2013-04-05
173,84/13,ua 84/13 on india (issued on 5 april 2013),risk of torture|risk of ill-treatment|unfair trail,india,,2013-05-17,2013-04-05,initial,2013-04-05|2011-04-17|2013-04-02|2013-05-17|2013-04-05
175,66/13,first update ua 66/13 on columbia (issued on 4 april 2013),fear for safety|death threats,colombia,,,2013-04-04,first update,2013-04-04|2013-04-04
176,232/12,fifth update to ua 232/12 on bahrain (issued on 3 april 2013),|subject:  fifth update to ua 232/12 on bahrain (issued on 3 april 2013),bahrain,,,2013-04-03,fifth update,2013-04-03|2012-04-21|2011-06-29|2012-08-06|2012-10-25|2012-12-14|2013-03-04|2013-04-03
178,85/13,ua 85/13 on india (issued on 5 april 2013),|subject:  ua 85/13 on india (issued on 5 april 2013),india,,2013-05-17,2013-04-05,initial,2013-04-05|2013-04-05|2013-05-17|2012-11-21|2013-02-09||2013-04-05
180,259/12,first update to ua 259/12 on iraq (issued on 3 april 2013),death penalty|tortur,iraq,,,2013-04-03,first update,2013-04-03|2012-09-07|2013-04-03
181,081/13,ua 081/13 on france,|subject:  ua 081/13 on france,france,,,,initial,
182,077/13,uaa 077/13 on colombia,|subject:  uaa 077/13 on colombia,colombia,,,,initial,
184,181/12,final update to ua 181/12 on belarus (issued 19 march 2012),|subject:  final update to ua 181/12 on belarus (issued 19 march 2012),belarus,,,2012-03-19,final update,2012-03-19
186,58/13,final update to ua 58/13 on saudi arabia (issued on 14 march 2013),children|death penalty|legal concern|torture|unfair trial|saudi arabia|male|uas 2013,saudi arabia,,,2013-03-14,final update,2013-03-14|2013-03-01|2013-03-05|2013-03-14|2013-03-05
188,172/12,first update to ua 172/12 on haiti (issued 6 march 2013),forced eviction|legal concern|fear for safety|haiti|female|male,haiti,,2013-04-17,2013-03-06,first update,2013-03-06|2012-06-15|2013-03-06|2013-04-17|2012-04-28|2012-06-11
190,174/12,sixth update to ua 174/12 on oman (issued 7 march 2013),prisoner of conscience|freedom of expression|male|oman|female,oman,,2013-04-18,2013-03-07,sixth update,2013-03-07|2012-06-19|2012-08-17|2012-09-12|2012-12-10|2013-03-07|2012-09-16|2013-04-18|2012-05-31|2013-01-16
192,66/13,ua 66/13 on colombia (issued 15 march 2013),death threats|fear for safety|union member|colombia|male|uas 2013,colombia,,2013-04-26,2013-03-15,initial,2013-03-15|2013-03-15|2001-03-12|2012-10-23||2013-04-26||2001-03-12
194,63/13,ua 63/13 on syria (issued 15 march 2013),enforced disappearance|risk of torture/ill-treatment|syria|male|activist|uas 2013,syria,,2013-04-23,2013-03-15,initial,2013-03-15|2013-03-15|2012-09-20|2012-09-22|2012-09-23|2012-09-21|2013-04-23||2011-08-31|2013-03-14|2013-03-14
196,25/13,first update to ua 25/13 on cuba,prisoner of conscience|freedom of expression|hunger strike|male|cuba|uas 2013#,cuba,,2013-04-25,2013-03-14,first update,2013-01-30|2013-03-14|2013-04-25|2012-09-11
198,54/13,final update to ua 54/13 on iran#,enforced disappearance|prisoner of conscience|religious leaders|risk of torture/ill-treatment|iran|male|uas 2013,iran,,,2013-03-14,final update,2013-03-01|2013-03-14
200,330/12,first update to ua 330/12 on russia,risk of torture/ill-treatment|fear for safety|abduction|russia|male|uas 2013,russian federation,,2013-04-24,2013-03-13,first update,2012-11-09|2013-03-13|2012-11-02|2012-11-02|2013-04-24|2010-09-22|2011-07-01|2012-09-07
202,65/13,ua 65/13 on the dominican republic (issued 12 march 2013),freedom of expression|arbitrary arrest|risk of ill-treatment|activist|male|female|uas 2013,dominican republic,,2013-04-23,2013-03-12,initial,2013-03-12|2013-03-12|2013-04-23|
204,55/13,first update to ua 55/13 on maldives (issued 12 march 2013),legal concern|risk of ill-treatment|children|sexual violence|maldives|female|uas 2013,maldives,,2013-04-23,2013-03-12,first update,2013-03-12|2013-02-28|2013-03-12|2013-04-23|2012-11-25
206,64/13,ua 64/13 on guatemala (issued 12 march 2013),fear for safety|death threatshuman rights defender|human rights defender|activist|guatemala|male|uas 2013,guatemala,,2013-04-23,2013-03-12,initial,2013-03-12|2013-03-12|2013-04-23
208,263/12,third update to ua 263/12 on the united states (issued 12 march 2013),prisoner of conscience|conscientious objector|military|female|usa|uas 2013,united states,,2013-04-23,2013-03-12,third update,2013-03-12|2012-09-13|2012-12-12|2013-03-12|2012-09-20|2013-04-23
210,61/13,ua 61/13 on syria (issued 12 march 2013),incommunicado detention|risk of torture/ill-treatment|syria|male|uas 2013,syria,,2013-04-23,2013-03-12,initial,2013-03-12|2013-03-12|2012-12-31|2012-03-14|2013-04-23|2012-09-19
212,257/12,first update to ua 257/12 on saudi arabia (issued 11 march 2013),prisoner of conscience|unjust imprisonment|freedom of expression|human rights defender|activist|male|saudi arabia|uas 2013,saudi arabia,,2013-04-22,2013-03-11,first update,2013-03-11|2013-09-05|2013-03-11|2005-08-08|2008-03-08|2012-06-11|2012-06-18|2013-04-22|2011-06-23|2011-11-22|2012-12-12|2012-04-10
214,49/13,first update to ua 49/13 on libya (issued 11 march 2013),hunger strike|freedom of expression|incommunicado detention|libya|male,libya,,2013-04-22,2013-03-11,first update,2013-03-11|2013-02-26|2013-03-11|2013-04-22|2012-12-19
216,57/13,final update to ua 57/13 on yemen (issued 11 march 2013),death penalty|legal concern|yemen|male,yemen,,,2013-03-11,final update,2013-03-11|2013-02-27|2013-03-11
218,57/13,final update to ua 57/13 on yemen (issued 11 march 2013),death penalty|legal concern|yemen|male|uas 2013,yemen,,,2013-03-11,final update,2013-03-11|2013-02-27|2013-03-11
220,62/13,ua 62/13 on mexico (issued 11 march 2013),fear for safety|death threats|male|female|mexico,mexico,,2013-04-22,2013-03-11,initial,2013-03-11|2013-03-11|2013-04-22
222,33/13,first update to ua 33/13 on india,forced eviction|legal concern|male female|india,india,,2013-04-19,2013-03-08,first update,2013-02-08|2013-03-08|2013-04-19
224,57/13,first update to ua 57/13 on yemen,death penalty|legal concern|yemen|male,yemen,,2013-03-09,2013-03-06,first update,2013-02-27|2013-03-06|2013-03-09||2012-06-16|2012-03-23
226,9/13,third update to ua 9/13 on somalia,prisoner of conscience|freedom of expression|legal concern|male|somalia,somalia,,2013-04-17,2013-03-06,third update,2013-01-18|2013-02-21|2013-03-06|2013-04-17
228,43/13,final update to ua 43/13 on malaysia (issued 6 march 2013),legal concern|risk of torture|risk of ill-treatment|male|malaysia,malaysia,,,2013-03-06,final update,2013-03-06|2013-03-06|2013-02-07|2013-02-25|2013-02-25|2013-05-20
230,58/13,first update to ua 58/13 on sauid arabia,deathy penalty|imminent execution|legal concern|male|saudi arabia,saudi arabia,,2013-04-16,2013-03-05,first update,2013-03-01|2013-03-05||2013-04-16||2012-03-23
232,32/13,final update to ua 32/13 on iraq,freedom of expression|arbitrary detention  |male|iraq,iraq,,,2013-03-05,final update,2013-02-08|2013-03-05
234,232/12,fourth update to ua 232/12 on bahrain,freedom of expression|prisoner of conscience|female|bahrain,bahrain,,2013-04-15,2012-12-10,fourth update,2012-08-06|2012-10-26|2012-12-14|2013-03-04|2012-05-02|2012-12-10|2013-04-15|2012-04-21|2011-06-29
236,59/13,ua 59/13 on yemen,|subject:  ua 59/13 on yemen,yemen,,2013-04-12,2013-03-01,initial,2013-03-01||2013-04-12
238,58/13,ua 58/13 on saudi arabia,|subject:  ua 58/13 on saudi arabia,saudi arabia,,2013-04-12,2013-03-01,initial,2013-03-01|2013-04-12|
240,54/13,ua 54/13 on iran,|subject:  ua 54/13 on iran,iran,,2013-04-10,2013-03-01,initial,2013-03-01|2013-02-26|2013-04-10|2013-02-26
242,55/13,ua 55/13 on maldives,|subject:  ua 55/13 on maldives,maldives,,2013-04-11,2013-02-28,initial,2013-02-28|2012-11-25|2013-04-11
244,214/12,second update to 214/12 on uae,|subject:  second update to 214/12 on uae,uae,,2013-04-11,2013-02-28,second update 214/12,2012-07-18|2012-07-30|2013-02-28|2013-01-27|2013-04-11|2013-02-20|2013-02-21|2013-02-18|2012-07-31
245,49/13,ua 49/13 on libya (issued 26 february 2013),|subject:  ua 49/13 on libya (issued 26 february 2013),libya,,,2013-02-26,initial,2013-02-26
247,38/13,first update to ua 38/13 on russian federation,death threats|fear for safety|male|russia,russian federation,,2013-04-10,2013-02-27,first update,2013-02-13|2013-02-27|2013-02-11|2013-02-11|2013-04-10|2011-12-15
249,56/13,ua 56/13 on colombia,fear for safety|ill-treatment .|male|female|colombia|community,colombia,,2013-04-10,2013-02-27,initial,2013-02-27|2013-02-16|2013-04-10|1997-03-23
251,47/13,final update to ua 47/13 on usa,|subject:  final update to ua 47/13 on usa,usa,,,,final update,
253,57/13,ua 57/13 on yemen,imminent execution|death penalty|male|yemen,yemen,,2013-04-09,2013-02-27,initial,2013-02-27|2013-03-03|2013-04-09||2012-06-16|2012-03-23
255,53/13,ua 53/13 on sri lanka,risk of ill-treatment|enforced disappearance|male|sri lanka,sri lanka,,2013-04-10,2013-02-27,initial,2013-02-27|2013-02-25|2013-04-10
257,49/13,ua 49/13 on libya,health concern|legal concern|incommunicado detention|male|libya,libya,,2013-04-09,2013-02-26,initial,2013-02-26|2012-12-19|2012-12-19|2013-04-09
259,50/13,ua 50/13 on mexico,death threats|ill-treatment and fear for safety|male|female|mexico,mexico,,2013-04-09,2013-02-26,initial,2013-02-26|2013-04-09
261,19/13,ua 19/13 on zimbabwe,freedom of expression|risk of ill-treatment|zimbabwe|male|female,zimbabwe,,2013-04-09,2013-02-26,initial,2013-02-26|2013-04-09|2013-03-16
263,51/13,ua 51/13 on nigeria,forced eviction|health concern|male|female|nigeria,nigeria,,2013-04-09,2013-02-26,initial,2013-02-26|2013-04-09|2013-02-25
265,52/13,ua 52/13 on saudi arabia,incommunicado detention|enforced disappearance|male|saudi arabia,saudi arabia,,2013-04-09,2011-12-01,initial,2013-02-26|2013-01-06|2012-12-23|2013-04-09|2007-12-17|2008-12-12|2011-12-01
267,319/12,second update to ua 319/12 on qatar (issued 25 february 2013),prisoner of conscience|freedom of expression|male|qatar,qatar,,2013-04-08,2013-02-25,second update,2013-02-25|2012-10-25|2013-02-25|2011-11-16|2012-11-29|2013-04-08|2011-11-29|2013-01-08
269,48/13,ua 48/13 on indonesia (issued 22 february),|subject:  ua 48/13 on indonesia (issued 22 february),indonesia,,,,initial,
271,337/12,second update to ua 337/12 on india,legal concern|death penalty|india|male|female,india,,2013-04-04,2013-02-21,second update,2012-11-26|2013-02-21|2013-04-04|
273,226/12,first update to ua 226/12 on cambodia,freedom of expression|legal concern|cambodia|male,cambodia,,2013-04-04,2013-02-21,first update,2012-08-01|2013-02-21|2012-10-01|2012-09-14|2013-03-05|2012-06-26|2013-04-04
275,47/13,ua 47/13 on the united states,death penalty|legal concern|male|united states,united states,,2013-02-26,2013-02-21,initial,2013-02-21|1995-01-10|2004-12-01|2013-02-26
