category,category_count,event_type,classification
malaysia,28,3,0
singapore,28,3,0
families,27,4,0
land rights,27,5,0
male/female,27,4,0
united kingdom,26,3,0
guantanamo,25,3,0
israel/palestinian authority,25,4,0
philippines,24,3,0
canada,24,3,0
argentina,23,3,0
nigeria,23,3,0
risk of execution,23,1,10
kyrgyzstan,23,3,0
(m/f),22,4,0
uganda,22,3,0
uas 2013,22,0,0
morocco,21,3,0
chad,21,3,0
uas 2008,21,0,0
juvenile offender,21,4,0
rwanda,20,3,0
laos,20,3,0
gambia,20,3,0
mauritania,20,3,0
oman,19,3,0
dominican republic,18,3,0
risk of torture/ill-treatment,18,1,17
azerbaijan,18,3,0
israel/opt,18,3,0
torture/ill-treatment,18,2,16
japan,17,3,0
moldova,17,3,0
qatar,17,3,0
ngo,17,4,0
italy,16,3,0
el salvador,16,3,0
serbia,16,3,0
kazakhstan,16,3,0
spain,16,3,0
migrants,15,4,0
mental illness,15,5,12
lebanon,15,3,0
excessive force,15,2,3
jordan,15,3,0
house destruction,15,2,6
risk of forcible return,15,1,10
unlawful detention,15,2,4
tajikistan,14,3,0
kuwait,14,3,0
chechnya,14,3,0
threats,14,1,10
web activist,14,4,0
death by stoning,13,2,1
idps,13,4,6
political leader,12,4,0
bolivia,12,3,0
tibet,12,3,0
uas2012,12,0,0
killing,12,2,1
united states,12,3,0
angola,12,3,0
writer,12,4,0
maldives,12,3,0
chile,11,3,0
afghanistan,11,3,0
uas 2012#,11,0,0
risk of ill-treatment/torture,11,1,17
kenya,11,3,0
social scientists,11,4,0
hiv/aids,11,5,12
blogger,11,4,0
unjust imprisonment,11,2,4
paraguay,11,3,0
ua 116/07,10,0,0
somalia,10,3,0
france,10,3,0
north korea,10,3,0
stoning,10,2,3
asylum seeker,10,4,0
amputations,10,2,3
ua 262/06,9,0,0
ua 118/06,9,0,0
religious discrimination,9,2,15
romania,9,3,0
mass arrest,9,2,4
ua 264/10,9,0,0
guinea,9,3,0
togo,9,3,0
sweden,9,3,0
ua 41/06,9,0,0
unlawful killing,8,2,1
mongolia,8,3,0
ua 199/03,8,0,0
vietnam,8,3,0
hunger strike,8,2,12
risk of torture/ ill-treatment,8,1,17
woman,8,4,0
death in detention,8,2,1
possible prisoner of conscience,8,4,4
somaliland,8,3,0
harsh prison conditions,8,5,0
trade unionist,8,4,0
ua 48/05,8,0,0
trinidad and tobago,8,3,0
ua 141/05,7,0,0
ua 140/05,7,0,0
ua 109/06,7,0,0
roma,7,3,0
ua 142/06,7,0,0
trade unionists,7,4,0
ua 320/03,7,0,0
urgent action,7,0,0
ua 191/05,7,0,0
ua 324/06,7,0,0
ua 209/04,7,0,0
ua 246/05,7,0,0
kurdish,7,4,0
ua 8/06,7,0,0
ua 99/06,7,0,0
ua 164/05,7,0,0
ua 299/06,7,0,0
ua 326/03,7,0,0
extradition,7,2,6
ua 271/09,7,0,0
ua 156/06,6,0,0
ua 333/07,6,0,0
uae,6,3,0
ua 280/04,6,0,0
central african republic,6,3,0
ua 110/07,6,0,0
ua 121/08,6,0,0
texas,6,4,0
ua 208/05,6,0,0
paramilitaries,6,4,0
internet freedom,6,5,0
ua 207/07,6,0,0
ua 178/05,6,0,0
community leader,6,4,0
ua 291/07,6,0,0
cote d'ivoire,6,3,0
cameroon,6,3,0
ua 159/03,6,0,0
ua 2/07,6,0,0
georgia,6,3,0
ua 160/07,6,0,0
ua 171/07,6,0,0
ua 218/09,6,0,0
ua 221/05,6,0,0
freedom of assembly,6,5,0
lithuania,6,3,0
ua 284/04,6,0,0
ua 155/04,6,0,0
ua 69/06,6,0,0
ua 301/06,6,0,0
ua 132/06,5,0,0
house arrest,5,2,4
ua 156/07,5,0,0
ua 333/03,5,0,0
human rights,5,5,0
ua 90/09,5,0,0
netherlands,5,3,0
ua 271/05,5,0,0
ua 39/07,5,0,0
niger,5,3,0
ua 57/06,5,0,0
ua 81/07,5,0,0
ua 99/07,5,0,0
afro-descendant community,5,4,0
ua 233/05,5,0,0
labor rights activists,5,6,0
ua 114/08,5,0,0
ua 204/07,5,0,0
ua 356/03,5,0,0
ua 112/04,5,0,0
ua 112/03,5,0,0
opposition leader,5,4,0
ua 113/07,5,0,0
bahamas,5,3,0
ua 198/07,5,0,0
ua 125/09,5,0,0
ua 238/05,5,0,0
execution,5,2,1
ua 71/08,5,0,0
ua 174/07,5,0,0
ua 297/09,5,0,0
ua 97/10,5,0,0
kosovo,5,3,0
ua 18/11,5,0,0
ua 340/04,5,0,0
usa (texas),5,3,0
nicaragua,5,3,0
ua 185/03,5,0,0
malawi,5,3,0
ua 104/03,5,0,0
ua 278/08,5,0,0
ua 139/05,5,0,0
ua 139/04,5,0,0
ua 188/03,5,0,0
ua 226/04,5,0,0
ua 364/03,5,0,0
albania,5,3,0
serbia and montenegro,5,3,0
extrajudicial killing,5,2,1
ua 79/05,5,0,0
ua 169/08,5,0,0
ua 181/03,5,0,0
ua 166/03,5,0,0
ua 69/08,5,0,0
slovakia,5,3,0
ua 37/05,5,0,0
ua 307/06,5,0,0
ua 225/07,4,0,0
ua 52/07,4,0,0
jamaica,4,3,0
ua 246/09,4,0,0
military,4,4,0
ua 358/03,4,0,0
ua 309/07,4,0,0
ua 275/04,4,0,0
ua 331/06,4,0,0
ua 331/07,4,0,0
ua 110/10,4,0,0
ua 43/10,4,0,0
ua 68/09,4,0,0
ua 286/05,4,0,0
ua 59/08,4,0,0
germany,4,3,0
panama,4,3,0
ua 318/03,4,0,0
ua 137/07,4,0,0
ua 332/04,4,0,0
ua 111/05,4,0,0
ua 130/03,4,0,0
ua 230/07,4,0,0
ua 81/04,4,0,0
djibouti,4,3,0
ua 51/08,4,0,0
starvation,4,5,12
ua 128/09,4,0,0
ua 128/08,4,0,0
ua 236/10,4,0,0
ua 142/04,4,0,0
ua 204/03,4,0,0
unlawful killings,4,2,1
ua 204/09,4,0,0
ua 148/03,4,0,0
ua 134/06,4,0,0
ua 283/05,4,0,0
risk of forced eviction,4,1,6
ua 22/05,4,0,0
ua 146/08,4,0,0
forced return,4,2,6
farmer,4,4,0
ua 127/11,4,0,0
ua 61/07,4,0,0
ua 113/05,4,0,0
ua 129/03,4,0,0
swaziland,4,3,0
ua 84/06,4,0,0
medical action ma 15/03,4,5,12
nsa 3/03,4,0,0
ua 296/09,4,0,0
ua 263/07,4,0,0
ua 193/05,4,0,0
corporal punishment,4,2,16
ua 04/10,4,0,0
ua 206/04,4,0,0
barbados,4,3,0
ex 39/03,4,0,0
ua 313/09,4,0,0
bosnia-herzegovina,4,3,0
ua 71/09,4,0,0
ua 106/07,4,0,0
ua 77/09,4,0,0
ua 102/10,4,0,0
ua 122/04,4,0,0
ua 240/09,4,0,0
ua 267/04,4,0,0
ua 341/09,4,0,0
ua 103/08,4,0,0
ua 172/03,4,0,0
ua 223/05,4,0,0
ua 330/04,4,0,0
youth,4,4,0
ua 172/06,4,0,0
ua 107/09,4,0,0
ua 299/07,4,0,0
ua 159/06,4,0,0
ex 5/03,4,0,0
ua 4/06,4,0,0
ua 342/08,4,0,0
ua 63/05,4,0,0
ua 6/06,4,0,0
ua 160/05,4,0,0
ua 160/08,4,0,0
taiwan,4,3,0
ua 231/07,4,0,0
ua 26/07,4,0,0
ua 108/09,4,0,0
ua 163/06,4,0,0
ua 187/05,4,0,0
ua 187/08,4,0,0
ua 1/04,4,0,0
ua 23/10,4,0,0
ua 19/07,4,0,0
ua 165/03,4,0,0
ex 51/03,4,0,0
ua 189/06,4,0,0
ua 175/09,4,0,0
ua 154/10,4,0,0
ua 227/06,4,0,0
lgbt rights,4,5,0
ua 216/08,4,0,0
ua 319/06,4,0,0
ua 299/04,4,0,0
ua 299/05,4,0,0
ua 73/06,4,0,0
ua 3/04,4,0,0
ex 44/03,4,0,0
ua 293/05,4,0,0
ua 180/05,4,0,0
ua 180/04,4,0,0
ua 163/09,4,0,0
ua 34/06,4,0,0
ua 9/03,4,0,0
ua 98/09,4,0,0
ua 175/10,4,0,0
ua 154/05,4,0,0
ua 57/05,4,0,0
union member,4,4,0
ua 151/08,4,0,0
ua 275/05,4,0,0
ua 284/05,4,0,0
ua 363/03,4,0,0
ua 14/06,4,0,0
ua 368/03,4,0,0
greece,4,3,0
ua 220/05,4,0,0
ua 253/09,4,0,0
medical action # ma 9/05,4,5,12
ua 278/03,4,0,0
ua 227/03,4,0,0
ua 10/04,4,0,0
ua 154/06,4,0,0
ua 274/08,4,0,0
ua 301/03,4,0,0
ua 219/05,4,0,0
ua 250/09,3,0,0
ua 250/08,3,0,0
ua 250/06,3,0,0
ua 138/07,3,0,0
ua 39/08,3,0,0
ua 305/08,3,0,0
ua 136/04,3,0,0
ua 136/05,3,0,0
ua 45/02,3,0,0
ua 47/05,3,0,0
ua 47/07,3,0,0
ua 246/08,3,0,0
ua 252/08,3,0,0
ua 50/03,3,0,0
ua 305/03,3,0,0
ua 259/07,3,0,0
ua 59/10,3,0,0
ua 122/03,3,0,0
ua 337/04,3,0,0
ua 50/05,3,0,0
ua 50/06,3,0,0
ua 50/09,3,0,0
unionist,3,4,0
ua 182/03,3,0,0
fear of safety,3,1,8
ua 295/03,3,0,0
ua 302/07,3,0,0
ua 14/04,3,0,0
ua 87/04,3,0,0
ua 87/05,3,0,0
ua 135/03,3,0,0
ua 135/07,3,0,0
ex 37/03,3,0,0
ua 308/05,3,0,0
life imprisonment,3,2,4
ua 286/08,3,0,0
ua 309/03,3,0,0
ua 257/06,3,0,0
ua 309/02,3,0,0
ua 41/04,3,0,0
ua 137/05,3,0,0
ua 50/11,3,0,0
ua 40/07,3,0,0
ua 284/08,3,0,0
ua 53/03,3,0,0
ua 251/03,3,0,0
(ua 99/11),3,0,0
ua 236/03,3,0,0
ua 350/08,3,0,0
ua 234/04,3,0,0
ua 267/03,3,0,0
ua 234/03,3,0,0
ua 130/08,3,0,0
ua 258/05,3,0,0
ua 258/03,3,0,0
ex 35/03,3,0,0
ua 149/06,3,0,0
ua 67/04,3,0,0
ua 116/05,3,0,0
ua 116/06,3,0,0
ua 359/03,3,0,0
ua 118/04,3,0,0
ua 88/10,3,0,0
ua 65/03,3,0,0
ua 334/07,3,0,0
ua 65/06,3,0,0
ua 128/03,3,0,0
ua 128/05,3,0,0
ua 63/07,3,0,0
ua 147/08,3,0,0
ua 297/07,3,0,0
ua 297/05,3,0,0
risk of arbitrary arrest,3,1,4
ua 200/06,3,0,0
ua 200/04,3,0,0
ua 86/09,3,0,0
ua 86/08,3,0,0
ua 190/04,3,0,0
ua 134/05,3,0,0
ua 259/04,3,0,0
ua 199/08,3,0,0
ua 199/05,3,0,0
ua 199/06,3,0,0
ua 88/07,3,0,0
ua 231/05,3,0,0
ua 80/03,3,0,0
ua 01/08,3,0,0
uruguay,3,3,0
ua 237/03,3,0,0
norway,3,3,0
ex 43/03,3,0,0
ua 190/09,3,0,0
ua 196/05,3,0,0
ua 323/03,3,0,0
ua 292/03,3,0,0
ua 292/07,3,0,0
ua 63/04,3,0,0
ua 320/07,3,0,0
ua 84/04,3,0,0
ua 78/05,3,0,0
ua 329/06,3,0,0
ua 244/03,3,0,0
ua 201/03,3,0,0
ua 207/05,3,0,0
ua 29/05,3,0,0
ua 294/04,3,0,0
bulgaria,3,3,0
ua 127/06,3,0,0
ua 263/08,3,0,0
ua 260/10,3,0,0
ua 265/06,3,0,0
ex 25/03,3,0,0
ua 198/09,3,0,0
ua 31/05,3,0,0
ua 27/08,3,0,0
ua 27/05,3,0,0
ua 170/07,3,0,0
ua 140/10,3,0,0
ua 85/04,3,0,0
ex 33/03,3,0,0
ua 28/08,3,0,0
ua 202/07,3,0,0
ua 202/03,3,0,0
disappearance,3,2,13
ua 317/06,3,0,0
ua 195/05,3,0,0
ua 195/06,3,0,0
ua 311/09,3,0,0
ua 322/08,3,0,0
ua 311/03,3,0,0
ua 25/04,3,0,0
ua 20/11,3,0,0
ua 265/10,3,0,0
ua 232/10,3,0,0
republic of congo,3,3,0
medical action ma 18/04,3,2,12
ua 106/09,3,0,0
ua 79/07,3,0,0
ua 176/11,3,0,0
ex 22/03,3,0,0
ua 173/03,3,0,0
ua 90/06,3,0,0
ua 269/08,3,0,0
ua 192/03,3,0,0
ua 165/08,3,0,0
ua 345/03,3,0,0
ua 26/05,3,0,0
ua 264/06,3,0,0
ua 266/04,3,0,0
ua 103/04,3,0,0
ua 103/09,3,0,0
ua 107/10,3,0,0
ua 89/06,3,0,0
ua 176/06,3,0,0
(ua 01/10),3,0,0
ua 314/08,3,0,0
ua 122/11,3,0,0
ua 314/02,3,0,0
ua 18/06,3,0,0
ua 261/06,3,0,0
ua 24/04,3,0,0
ua 15/05,3,0,0
ua 228/06,3,0,0
ua 336/04,3,0,0
ua 350/03,3,0,0
ua 177/03,3,0,0
ua 76/06,3,0,0
ua 136/11,3,0,0
ua 172/08,3,0,0
ua 164/09,3,0,0
ua 107/06,3,0,0
ua 215/06,3,0,0
ua 215/07,3,0,0
ua 95/10,3,0,0
ua 217/06,3,0,0
ua 268/06,3,0,0
ua 248/04,3,0,0
ua 247/04,3,0,0
ua 2/06,3,0,0
ua 290/04,3,0,0
ua 23/04,3,0,0
womans rights,3,5,0
ua 219/07,3,0,0
ua 6/04,3,0,0
ua 148/10,3,0,0
ua 246/06,3,0,0
ua 99/08,3,0,0
ua 173/05,3,0,0
ua 315/03,3,0,0
ua 59/06,3,0,0
ua 26/06,3,0,0
ua 95/08,3,0,0
ua 15/06,3,0,0
ex 23/03,3,0,0
hostages,3,4,13
ua 362/03,3,0,0
ua 1/05,3,0,0
ua 1/06,3,0,0
ua 19/06,3,0,0
ua 322/06,3,0,0
ua 75/04,3,0,0
ua 38/05,3,0,0
ua 164/03,3,0,0
ua 189/04,3,0,0
ua 175/07,3,0,0
ua 175/06,3,0,0
ua 221/04,3,0,0
ua 180/03,3,0,0
ua 216/04,3,0,0
ua 214/08,3,0,0
ua 249/04,3,0,0
ua 249/02,3,0,0
ua 210/11,3,0,0
ua 69/07,3,0,0
ua 218/05,3,0,0
ua 32/05,3,0,0
ua 180/07,3,0,0
ua 171/06,3,0,0
ua 25/09,3,0,0
ua 163/08,3,0,0
ua 44/10,3,0,0
ua 9/07,3,0,0
ua 9/06,3,0,0
ua 278/07,3,0,0
ua 170/09,3,0,0
ua 57/07,3,0,0
medical action ma 4/03,3,5,12
ua 275/09,3,0,0
ua 273/05,3,0,0
congo,3,3,0
ua 182/05,3,0,0
ua 182/07,3,0,0
ua 271/08,3,0,0
ua 16/10,3,0,0
ua 300/03,3,0,0
ua 304/06,3,0,0
ua 203/05,3,0,0
child rights,3,5,0
ua 167/07,3,0,0
ua 188/09,3,0,0
ua 44/04,3,0,0
unjust arrest,3,2,4
ua 13/05,3,0,0
ua 224/04,3,0,0
ua 13/08,3,0,0
ua 370/03,3,0,0
ohio,3,3,0
ua 42/07,3,0,0
ua 42/06,3,0,0
ua 42/05,3,0,0
ua 46/08,3,0,0
ua 253/08,3,0,0
ua 222/09,3,0,0
ua 222/06,3,0,0
ua 110/03,3,0,0
ua 130/10,3,0,0
ua 181/06,3,0,0
ex 19/03,3,0,0
columbia,3,3,0
ua 330/03,3,0,0
ua 323/04,3,0,0
ua 281/09,3,0,0
ua 184/10,3,0,0
ua 10/06,3,0,0
ua 281/04,3,0,0
ua 35/09,3,0,0
ua 190/03,3,0,0
ua 139/10,3,0,0
(ua 79/11),3,0,0
ua 170/06,3,0,0
ua 279/08,3,0,0
ua 38/08,3,0,0
ua 228/07,3,0,0
ua 113/06,3,0,0
ua 285/04,3,0,0
ua 272/05,3,0,0
ua 4/05,3,0,0
ua 270/05,3,0,0
ua 303/04,3,0,0
ua 303/05,3,0,0
ua 130/09,3,0,0
ua 138/09,2,0,0
ua 250/07,2,0,0
ua 138/04,2,0,0
ua 138/05,2,0,0
ex 52/03,2,0,0
ua 333/08,2,0,0
ua 305/09,2,0,0
ua 305/06,2,0,0
ua 305/04,2,0,0
ua 305/05,2,0,0
unfair trail,2,2,11
ua 136/09,2,0,0
ua 74/04,2,0,0
ua 138/03,2,0,0
ua 225/05,2,0,0
ua 225/04,2,0,0
ua 225/09,2,0,0
ex 36/03,2,0,0
ua 132/05,2,0,0
ua 43/05,2,0,0
ua 52/05,2,0,0
ua 338/08,2,0,0
ex 28/03,2,0,0
ua 45/06,2,0,0
ua 45/07,2,0,0
ua 45/04,2,0,0
ua 45/05,2,0,0
ua 45/09,2,0,0
ua 49/07,2,0,0
ua 49/04,2,0,0
medical action ma 17/03,2,5,12
ua 69/11,2,0,0
ua 69/10,2,0,0
ua 333/04,2,0,0
ua 288/07,2,0,0
ua 62/08,2,0,0
ua 309/06,2,0,0
suriname,2,3,0
ua 141/11,2,0,0
ua 277/04,2,0,0
ua 277/06,2,0,0
ua 148/08,2,0,0
ua 277/09,2,0,0
ua 259/03,2,0,0
ua 259/06,2,0,0
ua 46/04,2,0,0
ua 361/03,2,0,0
forced labor,2,2,4
ua 336/03,2,0,0
ua 331/03,2,0,0
ua 30/06,2,0,0
ua 30/08,2,0,0
ua 148/02,2,0,0
ua 335/08,2,0,0
ua 79/04,2,0,0
ua 335/03,2,0,0
ua 337/08,2,0,0
ua 50/04,2,0,0
ua 50/07,2,0,0
ua 55/11,2,0,0
ua 255/04,2,0,0
ua 255/06,2,0,0
ua 255/07,2,0,0
ua 250/11,2,0,0
ua 229/03,2,0,0
ua 271/06,2,0,0
ua 117/06,2,0,0
ua 117/05,2,0,0
ua 117/03,2,0,0
ua 251/10,2,0,0
ua 271/03,2,0,0
ua 225/11,2,0,0
ua 62/06,2,0,0
ua 115/06,2,0,0
ua 269/05,2,0,0
ua 115/03,2,0,0
ua 43/11,2,0,0
ua 132/03,2,0,0
ua 39/05,2,0,0
arizona,2,3,0
ua 43/06,2,0,0
ua 103/03,2,0,0
ua 43/07,2,0,0
ua 39/09,2,0,0
ua 52/06,2,0,0
housing condition,2,5,0
ua 47/11,2,0,0
ua 64/06,2,0,0
ua 133/03,2,0,0
ua 60/07,2,0,0
ua 60/05,2,0,0
ua 111/04,2,0,0
ua 302/03,2,0,0
ua 302/06,2,0,0
ua 149/11,2,0,0
ua 149/10,2,0,0
ua 302/08,2,0,0
medical action ma 19/04,2,0,0
ua 295/07,2,0,0
ua 14/07,2,0,0
ua 141/03,2,0,0
ua 68/08,2,0,0
ua 275/08,2,0,0
ua 68/05,2,0,0
ua 68/04,2,0,0
ua 87/06,2,0,0
ua 135/08,2,0,0
ua 135/06,2,0,0
ua 135/04,2,0,0
ua 148/11,2,0,0
ua 308/03,2,0,0
ua 308/04,2,0,0
ua 308/07,2,0,0
ua 308/06,2,0,0
ua 245/03,2,0,0
ua 8/07,2,0,0
ua 286/09,2,0,0
ua 59/05,2,0,0
ua 59/04,2,0,0
ua 59/03,2,0,0
ua 286/03,2,0,0
ua 149/04,2,0,0
tanzania,2,3,0
ua 288/03,2,0,0
ua 288/05,2,0,0
ua 257/09,2,0,0
ua 30/10,2,0,0
ua 176/05,2,0,0
ua 137/06,2,0,0
ua 137/08,2,0,0
ua 332/07,2,0,0
ua 116/11,2,0,0
ua 332/03,2,0,0
ua 332/08,2,0,0
ua 131/05,2,0,0
ua 133/05,2,0,0
ua 40/05,2,0,0
ua 40/04,2,0,0
ua 284/06,2,0,0
ua 111/06,2,0,0
ua 40/08,2,0,0
ua 53/05,2,0,0
ua 53/04,2,0,0
ua 109/05,2,0,0
ua 71/06,2,0,0
ua 253/07,2,0,0
ua 253/04,2,0,0
ua 230/09,2,0,0
ua 230/08,2,0,0
ua 110/06,2,0,0
ua 110/04,2,0,0
ua 110/05,2,0,0
ua 147/11,2,0,0
ua 110/09,2,0,0
ua 230/06,2,0,0
ua 49/06,2,0,0
ua 236/08,2,0,0
ua 236/07,2,0,0
ua 81/08,2,0,0
ua 81/06,2,0,0
ua 143/08,2,0,0
ua 254/07,2,0,0
ua 350/02,2,0,0
ua 124/05,2,0,0
ua 234/06,2,0,0
ua 06/10,2,0,0
ua 83/04,2,0,0
ua 83/05,2,0,0
ua 99/05,2,0,0
ua 178/04,2,0,0
ua 201/08,2,0,0
ua 120/03,2,0,0
slovenia,2,3,0
ua 282/06,2,0,0
ex 31/03,2,0,0
ua 149/08,2,0,0
ua 134/11,2,0,0
ua 149/03,2,0,0
ua 209/09,2,0,0
(ua 40/11),2,0,0
ua 254/04,2,0,0
ua 254/08,2,0,0
ua 67/08,2,0,0
ua 67/09,2,0,0
ua 51/06,2,0,0
ua 67/07,2,0,0
ua 67/05,2,0,0
ua 116/08,2,0,0
ua 321/03,2,0,0
ua 116/04,2,0,0
ua 207/03,2,0,0
ua 133/10,2,0,0
ua 233/11,2,0,0
ua 22/09,2,0,0
ua 65/05,2,0,0
ua 352/02,2,0,0
medical action ma 12/04,2,5,12
ua 63/06,2,0,0
risk of unfair trial,2,1,11
ua 61/08,2,0,0
ua 61/04,2,0,0
ua 61/05,2,0,0
ua 114/06,2,0,0
south korea,2,3,0
ua 114/03,2,0,0
ua 20/05,2,0,0
ua 268/04,2,0,0
medical action ma 14/03,2,5,12
ua 06/08,2,0,0
ua 200/09,2,0,0
ua 142/09,2,0,0
ua 142/08,2,0,0
ua 6/05,2,0,0
ua 200/05,2,0,0
ua 86/07,2,0,0
ua 86/06,2,0,0
ua 206/06,2,0,0
ua 206/09,2,0,0
ua 210/09,2,0,0
ua 204/06,2,0,0
ua 204/04,2,0,0
ua 204/08,2,0,0
unlawful trial,2,2,11
ua 289/03,2,0,0
ua 289/05,2,0,0
ua 289/04,2,0,0
ua 289/08,2,0,0
ua 341/03,2,0,0
ua 208/11,2,0,0
ua 208/10,2,0,0
ua 211/03,2,0,0
ua 126/03,2,0,0
ua 190/11,2,0,0
ua 190/10,2,0,0
ua 44/07,2,0,0
ua 196/10,2,0,0
ua 134/04,2,0,0
ua 58/08,2,0,0
ua 58/06,2,0,0
ua 58/07,2,0,0
ua 134/08,2,0,0
ua 95/07,2,0,0
ua 283/08,2,0,0
ua 118/07,2,0,0
ua 278/05,2,0,0
ua 112/09,2,0,0
ua 112/05,2,0,0
ua 112/06,2,0,0
ua 264/07,2,0,0
ua 199/09,2,0,0
ua 108/05,2,0,0
ua 108/04,2,0,0
ua 58/05,2,0,0
ua 88/03,2,0,0
ua 233/09,2,0,0
ua 88/06,2,0,0
ua 88/09,2,0,0
ua 88/08,2,0,0
ua 233/06,2,0,0
ua 233/07,2,0,0
ua 231/06,2,0,0
ua 65/10,2,0,0
ua 80/09,2,0,0
ua 80/04,2,0,0
ua 22/04,2,0,0
ua 144/09,2,0,0
(ua 81/11),2,0,0
ua 194/04,2,0,0
ua 144/02,2,0,0
ua 144/04,2,0,0
(ua 100/11),2,0,0
ua 146/07,2,0,0
ua 237/08,2,0,0
ua 65/04,2,0,0
ua 237/06,2,0,0
nsa 15/03,2,0,0
ua 203/08,2,0,0
ua 226/03,2,0,0
ua 203/07,2,0,0
ua 203/06,2,0,0
ua 82/08,2,0,0
ua 145/03,2,0,0
ex 32/03,2,0,0
ua s 2012,2,0,0
nsa 10/03,2,0,0
ua 28/04,2,0,0
two men,2,4,0
ua 208/06,2,0,0
ua 208/04,2,0,0
ua 208/08,2,0,0
ua 208/09,2,0,0
ua 190/06,2,0,0
ua 190/07,2,0,0
ua 196/03,2,0,0
ua 196/07,2,0,0
(ua 95/11),2,0,0
ua 107/03,2,0,0
ua 194/06,2,0,0
ua 323/08,2,0,0
ua 323/06,2,0,0
ua 323/07,2,0,0
ua 194/08,2,0,0
ua 194/09,2,0,0
ua 56/10,2,0,0
ua 325/06,2,0,0
ua 325/08,2,0,0
ua 98/11,2,0,0
ua 292/08,2,0,0
ua 119/05,2,0,0
ua 119/04,2,0,0
ua 119/07,2,0,0
ua 119/08,2,0,0
ua 292/05,2,0,0
ua 292/04,2,0,0
ua 08/08,2,0,0
ua 327/03,2,0,0
ua 239/09,2,0,0
ua 239/04,2,0,0
ua 239/05,2,0,0
ua 66/04,2,0,0
ua 66/07,2,0,0
ua 66/06,2,0,0
ua 66/09,2,0,0
ua 66/08,2,0,0
ua 261/08,2,0,0
nsa 6/04,2,0,0
ua 158/05,2,0,0
ua 129/08,2,0,0
ua 129/09,2,0,0
ua 316/06,2,0,0
montenegro,2,3,0
ua 175/04,2,0,0
ua 140/06,2,0,0
ua 05/09,2,0,0
ua 84/08,2,0,0
ua 84/05,2,0,0
ua 84/07,2,0,0
ua 296/05,2,0,0
ua 78/09,2,0,0
ua 78/06,2,0,0
ua 78/07,2,0,0
ua 78/04,2,0,0
ua 329/08,2,0,0
ua 30/09,2,0,0
ua 201/05,2,0,0
ua 201/04,2,0,0
ua 201/07,2,0,0
ua 263/04,2,0,0
medical action ma 13/03,2,5,12
ua 144/10,2,0,0
ua 207/04,2,0,0
ua 205/08,2,0,0
ua 28/10,2,0,0
ua 205/07,2,0,0
ua 205/06,2,0,0
ua 207/09,2,0,0
ua 146/11,2,0,0
ex 14/03,2,0,0
ex 38/03,2,0,0
(ua 106/11),2,0,0
ua 136/06,2,0,0
(ua 105/11),2,0,0
ua 72/05,2,0,0
ua 01/09,2,0,0
ua 94/04,2,0,0
ua 294/05,2,0,0
ua 21/09,2,0,0
ua 127/04,2,0,0
ua 127/05,2,0,0
ua 127/07,2,0,0
ua 21/04,2,0,0
ua 21/05,2,0,0
ua 296/06,2,0,0
ua 274/03,2,0,0
ua 263/06,2,0,0
ua 193/09,2,0,0
ua 279/06,2,0,0
ua 193/07,2,0,0
